Time, FPS
8.40532, 800
8.40657, 800
8.40778, 800
8.40907, 800
8.41031, 800
8.4119, 800
8.41314, 799
8.41435, 799
8.41553, 799
8.41671, 799
8.41816, 799
8.41949, 799
8.42069, 799
8.42188, 799
8.42313, 799
8.42431, 799
8.42552, 799
8.42677, 799
8.42793, 799
8.42908, 799
8.43028, 801
8.43149, 801
8.4327, 801
8.43389, 801
8.43511, 801
8.4363, 801
8.43748, 801
8.43879, 801
8.44002, 801
8.44128, 801
8.44251, 801
8.44367, 801
8.44484, 801
8.44621, 801
8.44744, 805
8.44867, 805
8.44984, 805
8.45119, 805
8.4525, 805
8.4539, 805
8.45514, 805
8.45631, 805
8.45747, 805
8.45864, 805
8.45986, 805
8.46114, 805
8.46237, 805
8.46357, 805
8.46488, 804
8.46613, 804
8.46731, 804
8.46848, 804
8.46972, 804
8.47095, 804
8.47211, 804
8.47356, 804
8.47481, 804
8.47598, 804
8.47714, 804
8.47838, 804
8.47957, 804
8.48116, 804
8.48238, 805
8.48355, 805
8.48474, 805
8.4859, 805
8.48713, 805
8.48842, 805
8.48957, 805
8.4908, 805
8.49197, 805
8.49314, 805
8.49457, 805
8.49576, 805
8.49693, 805
8.49817, 805
8.49936, 804
8.50052, 804
8.50202, 804
8.50319, 804
8.5044, 804
8.50559, 804
8.50681, 804
8.50809, 804
8.50928, 804
8.51046, 804
8.51166, 804
8.51289, 804
8.51411, 804
8.51537, 804
8.51652, 807
8.51767, 807
8.51891, 807
8.52008, 807
8.52131, 807
8.52266, 807
8.52383, 807
8.52502, 807
8.52619, 807
8.5274, 807
8.52858, 807
8.52978, 807
8.53103, 807
8.53223, 807
8.53339, 809
8.53461, 809
8.53597, 809
8.53715, 809
8.53836, 809
8.53953, 809
8.54072, 809
8.54196, 809
8.54326, 809
8.54455, 809
8.54583, 809
8.54705, 809
8.54822, 809
8.54941, 809
8.55067, 808
8.55191, 808
8.55308, 808
8.55433, 808
8.55571, 808
8.55699, 808
8.55822, 808
8.5596, 808
8.5608, 808
8.56205, 808
8.5632, 808
8.56446, 808
8.56564, 808
8.56685, 808
8.56801, 810
8.56918, 810
8.57042, 810
8.57179, 810
8.57299, 810
8.57422, 810
8.57545, 810
8.57661, 810
8.57786, 810
8.5791, 810
8.58025, 810
8.58148, 810
8.58266, 810
8.58391, 810
8.58533, 805
8.58662, 805
8.58778, 805
8.58893, 805
8.59015, 805
8.59146, 805
8.59268, 805
8.59387, 805
8.59519, 805
8.59637, 805
8.59752, 805
8.59886, 805
8.60003, 805
8.60127, 805
8.60257, 803
8.60374, 803
8.60489, 803
8.60622, 803
8.60745, 803
8.60868, 803
8.6099, 803
8.61116, 803
8.61248, 803
8.61376, 803
8.61499, 803
8.61623, 803
8.61743, 803
8.61868, 803
8.62012, 798
8.62141, 798
8.62266, 798
8.62385, 798
8.62501, 798
8.62636, 798
8.62758, 798
8.62873, 798
8.62988, 798
8.63127, 798
8.63246, 798
8.63378, 798
8.63498, 798
8.63615, 798
8.6373, 801
8.63853, 801
8.63972, 801
8.64105, 801
8.6423, 801
8.64357, 801
8.64473, 801
8.64588, 801
8.64728, 801
8.64864, 801
8.64983, 801
8.65108, 801
8.65237, 801
8.65359, 801
8.65489, 803
8.65616, 803
8.65739, 803
8.65861, 803
8.65981, 803
8.66124, 803
8.66255, 803
8.66387, 803
8.66506, 803
8.66629, 803
8.6675, 803
8.66902, 803
8.67026, 803
8.67151, 803
8.67265, 806
8.67389, 806
8.67523, 806
8.67643, 806
8.67769, 806
8.67897, 806
8.68016, 806
8.68151, 806
8.68293, 806
8.68413, 806
8.68543, 806
8.68665, 806
8.6878, 806
8.68913, 806
8.6904, 807
8.6916, 807
8.69276, 807
8.69404, 807
8.69526, 807
8.69656, 807
8.6978, 807
8.69909, 807
8.70033, 807
8.70157, 807
8.70292, 807
8.70409, 807
8.70526, 807
8.70646, 807
8.70761, 807
8.70875, 807
8.71027, 807
8.71148, 807
8.71265, 807
8.7138, 807
8.71502, 807
8.71641, 807
8.71776, 807
8.71899, 807
8.72014, 807
8.72141, 807
8.72262, 807
8.72403, 807
8.72526, 806
8.7265, 806
8.72766, 806
8.72882, 806
8.73008, 806
8.73145, 806
8.7326, 806
8.73376, 806
8.73494, 806
8.73609, 806
8.73742, 806
8.73864, 806
8.73978, 806
8.74111, 806
8.74236, 806
8.74354, 806
8.74483, 806
8.74606, 806
8.74729, 806
8.74844, 806
8.74958, 806
8.75132, 806
8.75259, 806
8.75383, 806
8.75522, 806
8.75641, 806
8.75757, 806
8.75894, 806
8.76012, 806
8.76137, 806
8.7626, 806
8.76377, 806
8.76503, 806
8.76632, 806
8.76748, 806
8.76863, 806
8.76982, 806
8.77112, 806
8.77274, 806
8.77401, 806
8.77521, 806
8.77641, 806
8.77757, 806
8.77878, 806
8.78003, 806
8.78134, 806
8.78263, 806
8.78381, 806
8.78499, 806
8.78642, 806
8.78758, 806
8.78874, 806
8.7899, 806
8.79114, 806
8.7923, 806
8.79361, 806
8.79494, 807
8.79616, 807
